century	word	freq_normal
16	fetide	0.00013329
16	dianifum	0.00013329
16	belfome	0.00013329
16	fooulb	0.00013329
16	fufo	0.00013329
16	fectious	0.00013329
16	effetiuall	0.00013329
16	feolfome	0.00013329
16	obtferous	0.00013329
16	fweet	0.00013329
16	lauour	0.00013329
16	cheke	6.664e-05
16	exhale	6.664e-05
16	thedoctrine	6.664e-05
16	feine	6.664e-05
16	diademes	6.664e-05
16	vapur	6.664e-05
16	feruour	6.664e-05
16	indow	6.664e-05
16	corruption	6.664e-05
16	feedingamong	6.664e-05
16	odora	6.664e-05
16	lyperfume	6.664e-05
16	sweetesmell	6.664e-05
16	miste	6.664e-05
16	apud	6.664e-05
16	splendour	6.664e-05
16	oderous	6.664e-05
16	puffing	6.664e-05
16	séemely	6.664e-05
16	smoake	6.664e-05
16	feel	6.664e-05
16	swelt	6.664e-05
16	trammelle	6.664e-05
16	sweetene	6.664e-05
16	chase	6.664e-05
16	parfumer	6.664e-05
16	aromate	6.664e-05
16	superiours	6.664e-05
16	souldiour	6.664e-05
16	fetour	6.664e-05
16	schupe	6.664e-05
16	waffing	6.664e-05
16	smellis	6.664e-05
16	brodmell	6.664e-05
16	breathing	6.664e-05
16	kiss	6.664e-05
16	trifle	6.664e-05
16	candoure	6.664e-05
16	finesmell	6.664e-05
16	rupt	6.664e-05
16	stifle	6.664e-05
16	medowe	6.664e-05
16	faggot	6.664e-05
16	alluring	6.664e-05
16	sauore	6.664e-05
16	smuke	6.664e-05
16	buzz	6.664e-05
16	goo	6.664e-05
16	gnash	6.664e-05
16	heretike	6.664e-05
16	odorare	6.664e-05
16	sauoured	6.664e-05
16	smackt	6.664e-05
16	delectable	6.664e-05
16	tasteth	6.664e-05
16	sent	6.664e-05
16	perfuming	6.664e-05
16	cullour	6.664e-05
16	goume	6.664e-05
16	felte	6.664e-05
16	sweetesmel	6.664e-05
16	inammell	6.664e-05
16	whiffing	6.664e-05
16	andfume	6.664e-05
16	sucour	6.664e-05
16	haue	6.664e-05
16	filthiecolour	6.664e-05
16	somesink	6.664e-05
16	ismelte	6.664e-05
16	wouldparfume	6.664e-05
16	toparfume	6.664e-05
16	sweeteodour	6.664e-05
16	sweeteodours	6.664e-05
16	essence	6.664e-05
16	gouernour	6.664e-05
16	lineament	6.664e-05
16	balme	6.664e-05
16	hydromell	6.664e-05
16	nosethrille	6.664e-05
16	sauours	6.664e-05
16	sweteperfume	6.664e-05
16	smal	6.664e-05
16	incenseth	6.664e-05
16	semely	6.664e-05
16	smellys	6.664e-05
16	behauour	6.664e-05
16	perfumd	6.664e-05
16	parfumes	6.664e-05
16	doth	6.664e-05
16	oratour	6.664e-05
16	smelie	6.664e-05
16	smellingfume	6.664e-05
16	conueyodour	6.664e-05
16	prefumed	6.664e-05
16	prefume	6.664e-05
16	indeuour	6.664e-05
16	oyntmente	6.664e-05
16	myrrour	6.664e-05
16	stynkyng	6.664e-05
16	noyfull	6.664e-05
16	tryuiall	6.664e-05
16	odord	6.664e-05
16	stanch	6.664e-05
16	odout	6.664e-05
16	cense	6.664e-05
16	spicery	6.664e-05
16	stunke	6.664e-05
16	membrance	6.664e-05
16	smellyng	6.664e-05
16	skum	6.664e-05
16	yourstinke	6.664e-05
16	yourstinking	6.664e-05
16	vagrant	6.664e-05
16	befumde	6.664e-05
16	vapor	6.664e-05
16	synomom	6.664e-05
16	réeke	6.664e-05
16	smelte	6.664e-05
16	liueline	6.664e-05
16	nosthrill	6.664e-05
16	swéete	6.664e-05
16	postume	6.664e-05
16	filth	6.664e-05
16	thefilth	6.664e-05
16	els	6.664e-05
16	counterfete	6.664e-05
16	mud	6.664e-05
16	valour	6.664e-05
16	frind	6.664e-05
16	herbe	6.664e-05
16	saluiour	6.664e-05
16	offendour	6.664e-05
16	fragrance	6.664e-05
16	sweetesmelle	6.664e-05
16	snuffing	6.664e-05
16	smelde	6.664e-05
16	odoriferant	6.664e-05
16	floud	6.664e-05
16	carkas	6.664e-05
16	taste	6.664e-05
16	snort	6.664e-05
16	quour	6.664e-05
16	befume	6.664e-05
16	stifeled	6.664e-05
16	fauiour	6.664e-05
16	amorour	6.664e-05
16	perfumeth	6.664e-05
16	noynte	6.664e-05
16	pyle	6.664e-05
16	gumme	6.664e-05
16	sweetne	6.664e-05
16	polluted	6.664e-05
16	pollute	6.664e-05
16	hearbes	6.664e-05
16	fmelleo	6.664e-05
16	luff	6.664e-05
16	polfumc	6.664e-05
16	polfume	6.664e-05
16	fetit	6.664e-05
16	nodhrill	6.664e-05
16	feapour	6.664e-05
16	fele	6.664e-05
16	tmell	6.664e-05
16	gmafmell	6.664e-05
16	gajofmell	6.664e-05
16	ooours	6.664e-05
16	fmelltng	6.664e-05
16	ttinke	6.664e-05
16	perfumcs	6.664e-05
16	tinge	6.664e-05
16	pleafure	6.664e-05
16	diuerfum	6.664e-05
16	fapor	6.664e-05
16	odoratir	6.664e-05
16	vfum	6.664e-05
16	perfumar	6.664e-05
16	perfutne	6.664e-05
16	mmell	6.664e-05
16	efume	6.664e-05
16	frocbifccs	6.664e-05
16	tbefmell	6.664e-05
16	offtneetefmell	6.664e-05
16	befmell	6.664e-05
16	thefame	6.664e-05
16	cmell	6.664e-05
16	pecfume	6.664e-05
16	fpume	6.664e-05
16	faucur	6.664e-05
16	ganfofmell	6.664e-05
16	fimell	6.664e-05
16	rume	6.664e-05
16	tonfume	6.664e-05
16	ojeame	6.664e-05
16	foulcs	6.664e-05
16	ponour	6.664e-05
16	sfe	6.664e-05
16	fetors	6.664e-05
16	fetij	6.664e-05
16	aromaticum	6.664e-05
16	stem	6.664e-05
16	dofume	6.664e-05
16	tbeperfume	6.664e-05
16	fmellr	6.664e-05
16	fiflfonte	6.664e-05
17	smell	0.25674578
17	stink	0.16774614
17	perfume	0.07598012
17	odour	0.06451943
17	fragrant	0.05384914
17	scent	0.04322275
17	odoriferous	0.03731676
17	fmell	0.01997936
17	putrid	0.01708858
17	odor	0.01548584
17	stench	0.01473204
17	savour	0.01386114
17	fume	0.01020923
17	fetid	0.00994577
17	smel	0.00903828
17	breath	0.00886996
17	aromatick	0.00816007
17	fmelle	0.00637437
17	odorous	0.00624995
17	reek	0.00623532
